lambda_m,alpha_max
1.0e+06,1.0e-07
1.0e+07,1.0e-09
1.0e+08,1.0e-09
1.0e+09,1.0e-08
1.0e+10,1.0e-06
1.0e+11,2.0e-05
1.0e+12,1.0e-04
1.0e+13,1.0e-04
