n,beta,Lambda_eV,env_solar,rho_solar_kgm3,lambda_solar_m,lambda_lab_m,beta_eff_sun,beta_eff_earth,alpha_sun_earth,pass_cassini,pass_EotWash_Yukawa,pass_Ephemerides_Yukawa,pass_all,skipped_optional_gates
1.0,0.01778279410038923,1.2115276586285901e-08,SolarWind_1AU,8.36310962975e-21,271401328.28667927,237.34922131780618,9.641262051189579e-26,2.9370061042698367e-22,5.663289099441784e-47,True,True,True,True,False
1.0,0.01778279410038923,3.162277660168379e-08,SolarWind_1AU,8.36310962975e-21,900420350.9149151,787.4466587820684,1.0612080943259451e-24,3.232745499901956e-21,6.86123138278346e-45,True,True,True,True,False
1.0,0.01778279410038923,8.25404185268019e-08,SolarWind_1AU,8.36310962975e-21,2987298601.15255,2612.489044557598,1.168065563910235e-23,3.558264128883901e-20,8.31257159249267e-43,True,True,True,True,False
1.0,0.01778279410038923,2.1544346900318867e-07,SolarWind_1AU,8.36310962975e-21,9910874319.289177,8667.379474934522,1.2856829578364232e-22,3.9165605864383366e-19,1.0070910398635193e-40,True,True,True,True,False
1.0,0.01778279410038923,5.62341325190349e-07,SolarWind_1AU,8.36310962975e-21,32881021580.784878,28755.51463804799,1.4151437377688464e-21,4.3109354088487975e-18,1.2201186495516716e-38,True,True,True,True,False
1.0,0.01778279410038923,1.4677992676220705e-06,SolarWind_1AU,8.36310962975e-21,109088415952.54799,95401.34068091452,1.5576404636462368e-20,4.74502147716464e-17,1.4782074907404162e-36,True,True,True,True,False
1.0,0.01778279410038923,3.8311868495572925e-06,SolarWind_1AU,8.36310962975e-21,361919487987.8809,316510.27353457065,1.7144857792420053e-19,5.222817482381677e-16,1.7908892602239834e-34,True,True,True,True,False
1.0,0.01778279410038923,1e-05,SolarWind_1AU,8.36310962975e-21,1200729835901.0603,1050076.9961712887,1.8871245039064717e-18,5.748724760371635e-15,2.1697118723022343e-32,True,True,True,True,False
1.0,0.01778279410038923,2.6101572156825386e-05,SolarWind_1AU,8.36310962975e-21,3983626708908.4424,3483810.132209441,2.0771469418770746e-17,6.327587835874324e-14,2.6286659445489857e-30,True,True,True,True,False
1.0,0.01778279410038923,6.812920690579622e-05,SolarWind_1AU,8.36310962975e-21,13216363316249.213,11558136.290517678,2.2863035317584516e-16,6.964739049033261e-13,3.184701497116149e-28,True,True,True,True,False
1.0,0.01778279410038923,0.00017782794100389227,SolarWind_1AU,8.36310962975e-21,43847546989401.41,38346095.06272318,2.5165209711198598e-15,7.666047675563541e-12,3.8583539482320613e-26,True,True,True,True,False
1.0,0.01778279410038923,0.0004641588833612782,SolarWind_1AU,8.36310962975e-21,145471740673470.2,127219732.45511438,2.769919964745585e-14,8.437973993034356e-11,4.674502525061977e-24,True,True,True,True,False
1.0,0.01778279410038923,0.00121152765862859,SolarWind_1AU,8.36310962975e-21,482627393949415.9,422073233.2582261,3.0488347600305963e-13,9.287628791310662e-10,5.66328909944178e-22,True,True,True,True,False
1.0,0.01778279410038923,0.0031622776601683794,SolarWind_1AU,8.36310962975e-21,1601198970412015.5,1400300179.816098,3.355834649476796e-12,1.0222838875349817e-08,6.861231382783464e-20,True,True,True,True,False
1.0,0.01778279410038923,0.00825404185268019,SolarWind_1AU,8.36310962975e-21,5312251594067657.0,4645735476.889034,3.6937476383653174e-11,1.125221916374806e-07,8.312571592492672e-18,True,True,True,True,False
1.0,0.01778279410038923,0.021544346900318867,SolarWind_1AU,8.36310962975e-21,1.762430373747547e+16,15413022459.270021,4.065686495625325e-10,1.2385252047189919e-06,1.0070910398635193e-15,True,True,True,True,False
1.0,0.01778279410038923,0.05623413251903491,SolarWind_1AU,8.36310962975e-21,5.8471643658155224e+16,51135339605.91358,4.475077427873603e-09,1.3632374737831395e-05,1.220118649551672e-13,True,True,True,True,False
1.0,0.01778279410038923,0.14677992676220736,SolarWind_1AU,8.36310962975e-21,1.9398968396217802e+17,169650239822.97946,4.925691640762839e-08,0.00015005075414256989,1.4782074907404328e-11,True,True,True,True,False
1.0,0.01778279410038923,0.3831186849557293,SolarWind_1AU,8.36310962975e-21,6.435939735806715e+17,562843702492.3145,5.42168007837337e-07,0.0016515999047672443,1.7908892602239848e-09,True,True,True,True,False
1.0,0.01778279410038923,1.0,SolarWind_1AU,8.36310962975e-21,2.1352331442020298e+18,1867330301246.923,5.967611660659771e-06,0.018179063884180037,2.1697118723022338e-07,True,True,True,True,False
1.0,0.03162277660168379,1e-10,SolarWind_1AU,8.36310962975e-21,438475.4698940143,0.3834609506272319,4.475077427873603e-31,1.3632374737831395e-27,1.220118649551672e-57,True,True,True,True,False
1.0,0.03162277660168379,2.6101572156825333e-10,SolarWind_1AU,8.36310962975e-21,1454717.4067346985,1.2721973245511407,4.925691640762789e-30,1.5005075414256835e-26,1.4782074907404026e-55,True,True,True,True,False
1.0,0.03162277660168379,6.812920690579622e-10,SolarWind_1AU,8.36310962975e-21,4826273.939494161,4.220732332582261,5.42168007837337e-29,1.6515999047672443e-25,1.7908892602239848e-53,True,True,True,True,False
1.0,0.03162277660168379,1.7782794100389228e-09,SolarWind_1AU,8.36310962975e-21,16011989.704120152,14.003001798160982,5.967611660659772e-28,1.817906388418004e-24,2.1697118723022347e-51,True,True,True,True,False
1.0,0.03162277660168379,4.641588833612773e-09,SolarWind_1AU,8.36310962975e-21,53122515.940676436,46.45735476889021,6.568515371184907e-27,2.000958965613846e-23,2.6286659445489595e-49,True,True,True,True,False
1.0,0.03162277660168379,1.2115276586285901e-08,SolarWind_1AU,8.36310962975e-21,176243037.37475476,154.13022459270027,7.229926582843822e-26,2.2024438703660254e-22,3.184701497116152e-47,True,True,True,True,False
1.0,0.03162277660168379,3.162277660168379e-08,SolarWind_1AU,8.36310962975e-21,584716436.5815521,511.3533960591357,7.957938048317569e-25,2.424217130622032e-21,3.858353948232062e-45,True,True,True,True,False
1.0,0.03162277660168379,8.25404185268019e-08,SolarWind_1AU,8.36310962975e-21,1939896839.621777,1696.5023982297903,8.75925602496935e-24,2.6683216655254324e-20,4.674502525061979e-43,True,True,True,True,False
1.0,0.03162277660168379,2.1544346900318867e-07,SolarWind_1AU,8.36310962975e-21,6435939735.806781,5628.437024923144,9.641262051189579e-23,2.9370061042698366e-19,5.663289099441784e-41,True,True,True,True,False
1.0,0.03162277660168379,5.62341325190349e-07,SolarWind_1AU,8.36310962975e-21,21352331442.022705,18673.303012469227,1.0612080943259455e-21,3.2327454999019566e-18,6.861231382783463e-39,True,True,True,True,False
1.0,0.03162277660168379,1.4677992676220705e-06,SolarWind_1AU,8.36310962975e-21,70840013537.33002,61951.87826593027,1.1680655639102348e-20,3.5582641288838996e-17,8.312571592492665e-37,True,True,True,True,False
1.0,0.03162277660168379,3.8311868495572925e-06,SolarWind_1AU,8.36310962975e-21,235023867608.79712,205535.95783851243,1.285682957836423e-19,3.9165605864383363e-16,1.0070910398635192e-34,True,True,True,True,False
1.0,0.03162277660168379,1e-05,SolarWind_1AU,8.36310962975e-21,779731899919.6671,681900.7130543585,1.415143737768847e-18,4.310935408848799e-15,1.2201186495516724e-32,True,True,True,True,False
1.0,0.03162277660168379,2.6101572156825386e-05,SolarWind_1AU,8.36310962975e-21,2586894011821.538,2262322.307755904,1.5576404636462375e-17,4.745021477164643e-14,1.4782074907404177e-30,True,False,True,False,False
1.0,0.03162277660168379,6.812920690579622e-05,SolarWind_1AU,8.36310962975e-21,8582463573809.902,7505641.402316591,1.7144857792420055e-16,5.222817482381679e-13,1.7908892602239844e-28,True,False,True,False,False
1.0,0.03162277660168379,0.00017782794100389227,SolarWind_1AU,8.36310962975e-21,28473791604592.082,24901249.776407685,1.8871245039064713e-15,5.748724760371633e-12,2.1697118723022333e-26,True,False,True,False,False
1.0,0.03162277660168379,0.0004641588833612782,SolarWind_1AU,8.36310962975e-21,94466676306769.58,82614157.43039125,2.0771469418770746e-14,6.327587835874324e-11,2.6286659445489858e-24,True,False,True,False,False
1.0,0.03162277660168379,0.00121152765862859,SolarWind_1AU,8.36310962975e-21,313409364526246.6,274086604.85787374,2.2863035317584516e-13,6.964739049033261e-10,3.1847014971161487e-22,True,False,True,False,False
1.0,0.03162277660168379,0.0031622776601683794,SolarWind_1AU,8.36310962975e-21,1039789199884304.1,909329215.4654398,2.516520971119861e-12,7.666047675563544e-09,3.8583539482320644e-20,True,False,True,False,False
1.0,0.03162277660168379,0.00825404185268019,SolarWind_1AU,8.36310962975e-21,3449678607498984.5,3016855283.8536887,2.769919964745586e-11,8.43797399303436e-08,4.674502525061981e-18,True,False,True,False,False
1.0,0.03162277660168379,0.021544346900318867,SolarWind_1AU,8.36310962975e-21,1.1444899116436542e+16,10008933672.121557,3.0488347600305974e-10,9.287628791310665e-07,5.663289099441784e-16,True,False,True,False,False
1.0,0.03162277660168379,0.05623413251903491,SolarWind_1AU,8.36310962975e-21,3.797041135967567e+16,33206350264.49182,3.3558346494767957e-09,1.022283887534982e-05,6.861231382783464e-14,True,False,True,False,False
1.0,0.03162277660168379,0.14677992676220736,SolarWind_1AU,8.36310962975e-21,1.259733374803127e+17,110167749533.54195,3.693747638365336e-08,0.00011252219163748117,8.312571592492756e-12,True,False,True,False,False
1.0,0.03162277660168379,0.3831186849557293,SolarWind_1AU,8.36310962975e-21,4.1793810463643206e+17,365500361846.85486,4.065686495625326e-07,0.0012385252047189923,1.00709103986352e-09,True,False,True,False,False
1.0,0.03162277660168379,1.0,SolarWind_1AU,8.36310962975e-21,1.386581182977466e+18,1212609997715.4253,4.475077427873604e-06,0.013632374737831394,1.2201186495516722e-07,True,False,True,False,False
1.0,0.05623413251903491,1e-10,SolarWind_1AU,8.36310962975e-21,284737.91604592087,0.24901249776407683,3.355834649476795e-31,1.0222838875349818e-27,6.861231382783462e-58,True,True,True,True,False
1.0,0.05623413251903491,2.6101572156825333e-10,SolarWind_1AU,8.36310962975e-21,944666.7630676936,0.8261415743039103,3.693747638365298e-30,1.1252219163747999e-26,8.312571592492584e-56,True,True,True,True,False
1.0,0.05623413251903491,6.812920690579622e-10,SolarWind_1AU,8.36310962975e-21,3134093.6452624667,2.740866048578737,4.0656864956253256e-29,1.2385252047189917e-25,1.0070910398635193e-53,True,True,True,True,False
1.0,0.05623413251903491,1.7782794100389228e-09,SolarWind_1AU,8.36310962975e-21,10397891.998843042,9.093292154654398,4.475077427873603e-28,1.3632374737831393e-24,1.2201186495516719e-51,True,True,True,True,False
1.0,0.05623413251903491,4.641588833612773e-09,SolarWind_1AU,8.36310962975e-21,34496786.07498976,30.16855283853681,4.9256916407627886e-27,1.5005075414256832e-23,1.4782074907404024e-49,True,True,True,True,False
1.0,0.05623413251903491,1.2115276586285901e-08,SolarWind_1AU,8.36310962975e-21,114448991.16436541,100.08933672121559,5.42168007837337e-26,1.6515999047672444e-22,1.7908892602239849e-47,True,True,True,True,False
1.0,0.05623413251903491,3.162277660168379e-08,SolarWind_1AU,8.36310962975e-21,379704113.59675676,332.0635026449182,5.96761166065977e-25,1.8179063884180034e-21,2.169711872302233e-45,True,True,True,True,False
1.0,0.05623413251903491,8.25404185268019e-08,SolarWind_1AU,8.36310962975e-21,1259733374.8031254,1101.6774953354163,6.568515371184939e-24,2.0009589656138555e-20,2.628665944548985e-43,True,True,True,True,False
1.0,0.05623413251903491,2.1544346900318867e-07,SolarWind_1AU,8.36310962975e-21,4179381046.364377,3655.0036184685473,7.229926582843819e-23,2.202443870366025e-19,3.1847014971161495e-41,True,True,True,True,False
1.0,0.05623413251903491,5.62341325190349e-07,SolarWind_1AU,8.36310962975e-21,13865811829.776737,12126.09997715425,7.957938048317567e-22,2.424217130622032e-18,3.858353948232061e-39,True,True,True,True,False
1.0,0.05623413251903491,1.4677992676220705e-06,SolarWind_1AU,8.36310962975e-21,46002203571.752266,40230.41178754062,8.759256024969347e-21,2.668321665525431e-17,4.674502525061975e-37,True,True,True,True,False
1.0,0.05623413251903491,3.8311868495572925e-06,SolarWind_1AU,8.36310962975e-21,152620182607.15216,133471.27564875258,9.641262051189574e-20,2.937006104269835e-16,5.663289099441778e-35,True,True,True,True,False
1.0,0.05623413251903491,1e-05,SolarWind_1AU,8.36310962975e-21,506343573361.8526,442813.7976162211,1.0612080943259455e-18,3.2327454999019575e-15,6.861231382783466e-33,True,True,True,True,False
1.0,0.05623413251903491,2.6101572156825386e-05,SolarWind_1AU,8.36310962975e-21,1679881454111.4014,1469110.551361788,1.168065563910235e-17,3.5582641288839006e-14,8.312571592492668e-31,True,False,True,False,False
1.0,0.05623413251903491,6.812920690579622e-05,SolarWind_1AU,8.36310962975e-21,5573294198504.075,4874025.65986231,1.285682957836423e-16,3.916560586438336e-13,1.007091039863519e-28,True,False,True,False,False
1.0,0.05623413251903491,0.00017782794100389227,SolarWind_1AU,8.36310962975e-21,18490357249351.035,16170414.208090385,1.4151437377688462e-15,4.310935408848798e-12,1.2201186495516715e-26,True,False,True,False,False
1.0,0.05623413251903491,0.0004641588833612782,SolarWind_1AU,8.36310962975e-21,61344924389671.85,53648116.34344146,1.5576404636462374e-14,4.745021477164641e-11,1.4782074907404172e-24,True,False,True,False,False
1.0,0.05623413251903491,0.00121152765862859,SolarWind_1AU,8.36310962975e-21,203522284487317.56,177986806.65579033,1.7144857792420052e-13,5.222817482381678e-10,1.7908892602239837e-22,True,False,True,False,False
1.0,0.05623413251903491,0.0031622776601683794,SolarWind_1AU,8.36310962975e-21,675220007116192.8,590501689.5788635,1.887124503906472e-12,5.7487247603716346e-09,2.1697118723022344e-20,True,False,True,False,False
1.0,0.05623413251903491,0.00825404185268019,SolarWind_1AU,8.36310962975e-21,2240157922551243.2,1959090406.4582226,2.077146941877075e-11,6.327587835874325e-08,2.6286659445489865e-18,True,False,True,False,False
1.0,0.05623413251903491,0.021544346900318867,SolarWind_1AU,8.36310962975e-21,7432107261456700.0,6499617678.340379,2.2863035317584516e-10,6.964739049033262e-07,3.1847014971161493e-16,True,False,True,False,False
1.0,0.05623413251903491,0.05623413251903491,SolarWind_1AU,8.36310962975e-21,2.4657287680366096e+16,21563593913.446857,2.51652097111986e-09,7.666047675563544e-06,3.858353948232063e-14,True,False,True,False,False
1.0,0.05623413251903491,0.14677992676220736,SolarWind_1AU,8.36310962975e-21,8.180477142806614e+16,71540912939.17085,2.7699199647455996e-08,8.4379739930344e-05,4.674502525062027e-12,True,False,True,False,False
1.0,0.05623413251903491,0.3831186849557293,SolarWind_1AU,8.36310962975e-21,2.7140132828667434e+17,237349221317.8062,3.0488347600305967e-07,0.0009287628791310665,5.663289099441783e-10,True,False,True,False,False
1.0,0.05623413251903491,1.0,SolarWind_1AU,8.36310962975e-21,9.00420350914735e+17,787446658782.0687,3.355834649476795e-06,0.010222838875349817,6.861231382783462e-08,True,False,True,False,False
1.0,0.1,1e-10,SolarWind_1AU,8.36310962975e-21,184903.57249351038,0.16170414208090386,2.51652097111986e-31,7.666047675563544e-28,3.858353948232063e-58,True,True,True,True,False
1.0,0.1,2.6101572156825333e-10,SolarWind_1AU,8.36310962975e-21,613449.243896717,0.5364811634344131,2.7699199647455707e-30,8.437973993034314e-27,4.6745025250619295e-56,True,True,True,True,False
1.0,0.1,6.812920690579622e-10,SolarWind_1AU,8.36310962975e-21,2035222.8448731764,1.7798680665579036,3.0488347600305964e-29,9.287628791310665e-26,5.663289099441782e-54,True,True,True,True,False
1.0,0.1,1.7782794100389228e-09,SolarWind_1AU,8.36310962975e-21,6752200.071161928,5.905016895788636,3.3558346494767958e-28,1.0222838875349818e-24,6.861231382783463e-52,True,True,True,True,False
1.0,0.1,4.641588833612773e-09,SolarWind_1AU,8.36310962975e-21,22401579.225512378,19.590904064582176,3.693747638365298e-27,1.1252219163748002e-23,8.312571592492587e-50,True,True,True,True,False
1.0,0.1,1.2115276586285901e-08,SolarWind_1AU,8.36310962975e-21,74321072.61456701,64.99617678340378,4.065686495625326e-26,1.238525204718992e-22,1.0070910398635197e-47,True,True,True,True,False
1.0,0.1,3.162277660168379e-08,SolarWind_1AU,8.36310962975e-21,246572876.80366093,215.63593913446854,4.475077427873601e-25,1.363237473783139e-21,1.2201186495516713e-45,True,True,True,True,False
1.0,0.1,8.25404185268019e-08,SolarWind_1AU,8.36310962975e-21,818047714.2806605,715.4091293917068,4.925691640762813e-24,1.500507541425691e-20,1.4782074907404172e-43,True,True,True,True,False
1.0,0.1,2.1544346900318867e-07,SolarWind_1AU,8.36310962975e-21,2714013282.866792,2373.4922131780613,5.421680078373369e-23,1.6515999047672444e-19,1.7908892602239846e-41,True,True,True,True,False
1.0,0.1,5.62341325190349e-07,SolarWind_1AU,8.36310962975e-21,9004203509.149153,7874.466587820686,5.967611660659771e-22,1.817906388418004e-18,2.1697118723022343e-39,True,True,True,True,False
1.0,0.1,1.4677992676220705e-06,SolarWind_1AU,8.36310962975e-21,29872986011.5255,26124.89044557597,6.5685153711849396e-21,2.0009589656138552e-17,2.628665944548985e-37,True,True,True,True,False
1.0,0.1,3.8311868495572925e-06,SolarWind_1AU,8.36310962975e-21,99108743192.89178,86673.79474934518,7.229926582843816e-20,2.2024438703660243e-16,3.1847014971161475e-35,True,True,True,True,False
1.0,0.1,1e-05,SolarWind_1AU,8.36310962975e-21,328810215807.8488,287555.1463804799,7.957938048317571e-19,2.424217130622033e-15,3.8583539482320644e-33,True,True,True,True,False
1.0,0.1,2.6101572156825386e-05,SolarWind_1AU,8.36310962975e-21,1090884159525.4799,954013.4068091456,8.75925602496935e-18,2.668321665525432e-14,4.674502525061978e-31,True,False,True,False,False
1.0,0.1,6.812920690579622e-05,SolarWind_1AU,8.36310962975e-21,3619194879878.8096,3165102.735345707,9.641262051189576e-17,2.937006104269836e-13,5.66328909944178e-29,True,False,True,False,False
1.0,0.1,0.00017782794100389227,SolarWind_1AU,8.36310962975e-21,12007298359010.604,10500769.961712884,1.061208094325945e-15,3.232745499901956e-12,6.861231382783458e-27,True,False,True,False,False
1.0,0.1,0.0004641588833612782,SolarWind_1AU,8.36310962975e-21,39836267089084.44,34838101.32209441,1.1680655639102351e-14,3.5582641288839e-11,8.312571592492669e-25,True,False,True,False,False
1.0,0.1,0.00121152765862859,SolarWind_1AU,8.36310962975e-21,132163633162492.14,115581362.90517679,1.285682957836423e-13,3.9165605864383366e-10,1.0070910398635191e-22,True,False,True,False,False
1.0,0.1,0.0031622776601683794,SolarWind_1AU,8.36310962975e-21,438475469894014.2,383460950.6272318,1.4151437377688465e-12,4.310935408848798e-09,1.2201186495516718e-20,True,False,True,False,False
1.0,0.1,0.00825404185268019,SolarWind_1AU,8.36310962975e-21,1454717406734702.5,1272197324.551144,1.5576404636462378e-11,4.745021477164642e-08,1.4782074907404179e-18,True,False,True,False,False
1.0,0.1,0.021544346900318867,SolarWind_1AU,8.36310962975e-21,4826273939494159.0,4220732332.5822606,1.7144857792420056e-10,5.222817482381679e-07,1.7908892602239846e-16,True,False,True,False,False
1.0,0.1,0.05623413251903491,SolarWind_1AU,8.36310962975e-21,1.6011989704120146e+16,14003001798.16098,1.8871245039064715e-09,5.748724760371634e-06,2.1697118723022337e-14,True,False,True,False,False
1.0,0.1,0.14677992676220736,SolarWind_1AU,8.36310962975e-21,5.312251594067659e+16,46457354768.89046,2.0771469418770854e-08,6.327587835874357e-05,2.6286659445490135e-12,True,False,True,False,False
1.0,0.1,0.3831186849557293,SolarWind_1AU,8.36310962975e-21,1.7624303737475043e+17,154130224592.70026,2.2863035317584516e-07,0.0006964739049033263,3.18470149711615e-10,True,False,True,False,False
1.0,0.1,1.0,SolarWind_1AU,8.36310962975e-21,5.847164365813962e+17,511353396059.13586,2.51652097111986e-06,0.007666047675563543,3.858353948232063e-08,True,False,True,False,False
1.0,0.1778279410038923,1e-10,SolarWind_1AU,8.36310962975e-21,120072.98359010604,0.10500769961712883,1.8871245039064717e-31,5.748724760371634e-28,2.169711872302234e-58,True,True,True,True,False
1.0,0.1778279410038923,2.6101572156825333e-10,SolarWind_1AU,8.36310962975e-21,398362.6708908432,0.3483810132209432,2.077146941877064e-30,6.327587835874291e-27,2.6286659445489584e-56,True,True,True,True,False
1.0,0.1778279410038923,6.812920690579622e-10,SolarWind_1AU,8.36310962975e-21,1321636.3316249214,1.155813629051768,2.2863035317584515e-29,6.964739049033262e-26,3.1847014971161495e-54,True,True,True,True,False
1.0,0.1778279410038923,1.7782794100389228e-09,SolarWind_1AU,8.36310962975e-21,4384754.698940142,3.834609506272318,2.51652097111986e-28,7.666047675563543e-25,3.858353948232062e-52,True,True,True,True,False
1.0,0.1778279410038923,4.641588833612773e-09,SolarWind_1AU,8.36310962975e-21,14547174.067346983,12.721973245511402,2.769919964745571e-27,8.437973993034313e-24,4.67450252506193e-50,True,True,True,True,False
1.0,0.1778279410038923,1.2115276586285901e-08,SolarWind_1AU,8.36310962975e-21,48262739.394941606,42.207323325822614,3.0488347600305975e-26,9.287628791310666e-23,5.663289099441785e-48,True,True,True,True,False
1.0,0.1778279410038923,3.162277660168379e-08,SolarWind_1AU,8.36310962975e-21,160119897.0412015,140.03001798160977,3.3558346494767947e-25,1.0222838875349815e-21,6.861231382783459e-46,True,True,True,True,False
1.0,0.1778279410038923,8.25404185268019e-08,SolarWind_1AU,8.36310962975e-21,531225159.40676564,464.5735476889033,3.693747638365317e-24,1.1252219163748056e-20,8.312571592492669e-44,True,True,True,True,False
